customer_id,age,annual_income_gbp,employment_status,employment_length_years,loan_amount_gbp,loan_term_months,interest_rate_pct,credit_score,outstanding_balance_gbp,days_past_due,previous_defaults,loan_type,default_flag
100025,39,226000,Employed,22.8,20800,60,7.52,787,31800,10,1,Mortgage,0
100026,26,37000,Employed,11,7400,48,2.91,673,7600,60,0,Unsecured Personal Loan,0
100027,42,38600,Self-Employed,2.3,11300,48,10.95,705,16100,30,0,Unsecured Personal Loan,0
100028,32,247000,Retired,1.1,27400,36,6.88,645,2700,30,0,Unsecured Personal Loan,0
100029,35,21800,Self-Employed,3.4,22900,48,10.86,695,22600,0,0,Unsecured Personal Loan,0
100030,32,31900,Employed,6.8,5900,12,5.92,715,20700,0,1,Unsecured Personal Loan,0
100031,57,15800,Self-Employed,3.4,16500,12,5.93,672,10600,60,0,Unsecured Personal Loan,1
100032,38,44300,Employed,3.3,4100,12,5.21,536,8400,0,2,Auto Loan,0
100033,27,50200,Contract,9.1,13700,36,10.13,,13100,0,3,Unsecured Personal Loan,0
100034,46,28500,Employed,2.2,41700,36,5.37,709,49100,0,0,Auto Loan,0
100035,26,79800,Employed,9.8,7600,36,9.43,626,2900,0,0,Auto Loan,0
100036,40,19700,Self-Employed,2.6,8100,12,6.35,,17100,0,1,Unsecured Personal Loan,0
100037,18,17500,Self-Employed,2,21100,36,1.57,798,5200,0,3,Auto Loan,0
100038,25,40600,Employed,3,5300,48,5.79,719,9800,30,0,Auto Loan,0
100039,40,61300,Self-Employed,7.2,9100,36,3.96,662,8300,0,1,Auto Loan,0
100040,45,84300,Employed,0.7,19100,48,7.6,589,7300,0,1,Unsecured Personal Loan,0
100041,40,28900,Unemployed,1.1,9100,24,3.93,614,9800,0,0,Unsecured Personal Loan,0
100042,37,62300,Contract,15.1,11600,48,10.28,784,4500,0,0,Mortgage,0
100043,35,35600,Contract,1,20900,36,7.23,691,20300,0,1,Auto Loan,0
100044,23,33300,Self-Employed,4.2,17200,24,6.97,636,2800,10,0,Unsecured Personal Loan,0
100045,31,56500,Employed,4.3,15700,24,9.47,721,14400,0,0,Unsecured Personal Loan,0
100046,33,50300,Employed,3.4,10900,36,10.39,615,7900,60,0,Unsecured Personal Loan,0
100047,49,16500,Unemployed,5.2,66800,48,7.44,800,4400,0,0,Unsecured Personal Loan,0
100048,41,,Employed,1.3,12400,36,5.19,,11400,0,0,Auto Loan,0
100049,20,72400,Employed,4,17600,24,2.18,643,3300,0,2,Unsecured Personal Loan,0
100050,41,26600,Employed,2.3,9900,48,5.44,630,10200,0,0,Unsecured Personal Loan,0
100051,34,44300,Employed,5.4,12000,36,5.65,471,3700,20,0,Auto Loan,0
100052,31,46500,Self-Employed,0.8,7400,36,7.82,561,13700,30,0,Unsecured Personal Loan,0
100053,44,41400,Employed,4.2,13100,36,6.46,573,5200,0,0,Auto Loan,0
100054,48,27600,Unemployed,1,8200,24,9.56,691,7200,0,0,Auto Loan,0
100055,47,26000,Employed,1.6,6800,36,5.66,654,12200,0,0,Unsecured Personal Loan,0
100056,30,35900,Employed,1.2,15600,24,7.33,572,5800,0,0,Auto Loan,1
100057,35,65300,Employed,1,15200,60,11.05,658,9500,90,0,Auto Loan,0
100058,41,47700,Employed,8.7,21400,36,8.53,720,3400,0,0,Unsecured Personal Loan,0
100059,48,30200,Employed,1.7,10300,36,7.32,722,15400,10,0,Unsecured Personal Loan,0
100060,33,53400,Unemployed,13.1,17100,36,5.69,528,34000,0,2,Auto Loan,0
100061,36,8700,Employed,17.5,18600,60,5.6,670,69900,0,0,Mortgage,0
100062,27,64500,Contract,4.2,17400,48,4.95,569,10500,0,0,Auto Loan,0
100063,26,15200,Employed,,8100,36,5.88,752,17200,0,0,Unsecured Personal Loan,1
100064,46,30300,Employed,2.3,14600,48,9.77,743,2800,20,0,Auto Loan,0
100065,52,20700,Unemployed,8,16600,36,6.83,608,28300,0,0,Unsecured Personal Loan,0
100066,37,19000,Employed,2.3,13400,36,3.45,619,17000,10,0,Auto Loan,0
100067,48,64900,Employed,0.5,3800,24,12.8,643,7100,0,0,Auto Loan,0
100068,42,28700,Employed,,14700,36,8.46,500,23500,90,1,Auto Loan,1
100069,32,43200,Employed,9.3,50400,24,3.28,707,8300,0,2,Mortgage,0
100070,42,35500,Contract,7.9,10800,60,6.17,658,7200,30,0,Auto Loan,0
100071,53,46100,Employed,1,8600,24,7.83,758,13800,20,0,Auto Loan,0
100072,38,37700,Unemployed,5.6,16700,60,12.61,592,4700,90,0,Unsecured Personal Loan,1
100073,54,19100,Contract,1.2,16100,36,4.18,630,20200,0,2,Mortgage,0
100074,18,59800,Employed,1.2,27300,36,10.43,559,4700,10,2,Mortgage,0
100075,46,28400,Contract,10.4,6300,36,11.7,600,4700,0,0,Unsecured Personal Loan,0
100076,39,16700,Employed,1.4,20700,12,5.61,585,5200,0,0,Unsecured Personal Loan,1
100077,35,29300,Retired,1.5,19000,24,6.67,,16800,0,0,Unsecured Personal Loan,0
100078,39,76900,Employed,0,12300,12,4.39,624,6400,0,0,Auto Loan,0
100079,18,55600,Self-Employed,10.2,16400,36,6.89,690,3900,120,0,Auto Loan,0
100080,36,30500,Employed,7.9,24800,36,7.39,650,6500,0,0,Unsecured Personal Loan,0
100081,42,,Employed,4.9,22500,48,9.48,578,9700,0,0,Mortgage,0
100082,53,30900,Self-Employed,6.9,6700,24,10.77,667,4300,0,2,Unsecured Personal Loan,0
100083,33,102600,Unemployed,0.8,21900,24,5.26,728,4400,0,3,Auto Loan,0
100084,30,44000,Employed,3.1,12900,36,1.6,583,43400,10,0,Unsecured Personal Loan,1
100085,33,45000,Employed,2.2,14000,60,7.44,745,5400,0,0,Unsecured Personal Loan,0
100086,47,60800,Unemployed,0.5,14000,48,8.38,612,7900,0,1,Unsecured Personal Loan,0
100087,41,40900,Self-Employed,3.3,12200,36,8.25,641,7700,0,0,Unsecured Personal Loan,0
100088,33,31900,Retired,12.7,27300,36,6.52,722,7400,60,0,Auto Loan,0
100089,43,32900,Unemployed,0.2,12700,12,7.87,627,15300,20,0,Auto Loan,0
100090,39,35000,Retired,1.7,6800,60,12.05,683,19200,90,0,Unsecured Personal Loan,0
100091,48,35600,Unemployed,1.2,10600,36,8.65,655,8000,0,0,Unsecured Personal Loan,0
100092,31,52300,Employed,1.4,14900,24,6.38,690,4200,0,0,Unsecured Personal Loan,0
100093,35,37300,Employed,12,27900,36,6,490,24200,0,0,Auto Loan,0
100094,34,,Unemployed,3.2,19200,12,6.99,534,9300,0,0,Auto Loan,0
100095,23,34900,Self-Employed,3.1,8000,60,12.41,729,33200,0,0,Unsecured Personal Loan,0
100096,41,37800,Employed,7.1,59300,24,6.95,763,2100,10,0,Auto Loan,0
100097,41,13400,Employed,0.8,15700,36,7.44,607,11300,0,1,Unsecured Personal Loan,0
100098,38,57400,Retired,,28700,24,6.05,660,37900,0,0,Mortgage,0
100099,36,43200,Employed,2.8,12200,48,10.8,704,7700,30,0,Mortgage,0
100100,24,59800,Employed,4.5,18400,48,13.38,735,8500,10,0,Auto Loan,0
100101,34,8500,Employed,38.6,22100,36,8.85,518,12200,0,0,Mortgage,1
100102,35,103200,Employed,7.3,27700,36,7.75,609,6700,0,0,Mortgage,0
100103,30,33900,Employed,2.5,25200,48,7.61,653,8000,0,0,Mortgage,0
100104,36,63200,Employed,8.8,22500,12,0.35,736,7800,0,0,Auto Loan,0
100105,42,21600,Employed,0.9,11100,24,9.74,880,6400,0,0,Unsecured Personal Loan,0
100106,57,49300,Unemployed,0.2,9500,24,7.9,662,23400,0,0,Unsecured Personal Loan,0
100107,40,21400,Employed,1.1,16300,60,8.79,567,13700,30,0,Unsecured Personal Loan,0
100108,41,26600,Contract,2.1,23400,24,5.37,712,11800,20,0,Auto Loan,1
100109,37,94600,Contract,3.6,11700,48,6.35,786,17400,0,0,Unsecured Personal Loan,0
100110,19,33000,Employed,4.8,25300,36,6.27,689,8200,0,0,Unsecured Personal Loan,0
100111,38,40500,Self-Employed,12.1,31900,24,10.56,607,5800,0,0,Unsecured Personal Loan,0
100112,39,56100,Employed,3.6,7700,24,6.36,757,6500,20,0,Unsecured Personal Loan,0
100113,63,46500,Contract,3.5,8100,24,13.75,733,9900,0,0,Auto Loan,0
100114,36,39200,Employed,,12300,36,8.79,598,4700,0,0,Mortgage,0
100115,41,43600,Self-Employed,0.2,16100,24,3.67,711,7000,0,0,Auto Loan,0
100116,38,,Self-Employed,4,9800,12,7.11,760,6900,0,0,Auto Loan,0
100117,26,35300,Employed,2.9,30100,48,5.54,775,43800,20,0,Auto Loan,0
100118,49,40200,Employed,9.1,17200,60,0.92,675,1400,0,0,Unsecured Personal Loan,0
100119,46,61400,Self-Employed,0.9,13700,24,12.3,651,8700,0,3,Unsecured Personal Loan,0
100120,46,63100,Unemployed,0.1,5600,24,9.61,778,33100,0,1,Mortgage,0
100121,29,65700,Employed,3,6100,12,9.1,583,10800,0,0,Unsecured Personal Loan,0
100122,52,50000,Self-Employed,1.4,15800,36,8,715,16800,30,0,Unsecured Personal Loan,0
100123,24,20500,Employed,0.3,3700,48,3.35,570,10600,30,0,Auto Loan,0
100124,44,82200,Unemployed,6.4,24500,12,6.05,765,6200,0,0,Unsecured Personal Loan,0
100125,60,20500,Employed,0.6,12200,24,10.03,659,2100,0,0,Unsecured Personal Loan,0
100126,28,42200,Contract,4.7,93500,48,4.35,781,11400,0,0,Unsecured Personal Loan,0
100127,32,24900,Employed,1.6,53400,36,-0.1,719,5800,0,1,Unsecured Personal Loan,0
100128,39,35200,Employed,1,12000,12,6.82,582,5700,0,0,Unsecured Personal Loan,0
100129,33,42800,Employed,2.4,12500,36,7.07,794,7000,10,0,Unsecured Personal Loan,0
100130,22,42600,Employed,8.1,24300,24,7.91,804,33600,0,0,Auto Loan,0
100131,39,44800,Employed,2.5,37100,24,9.69,751,53300,0,0,Mortgage,0
100132,27,81400,Employed,6.9,5000,48,9.41,619,11500,0,1,Unsecured Personal Loan,0
100133,43,45600,Contract,0.7,4600,48,8.28,656,7100,20,1,Mortgage,0
100134,29,32100,Employed,,9200,36,11.09,692,4300,0,2,Unsecured Personal Loan,0
100135,53,58800,Employed,1.4,19000,60,2.94,624,13700,10,0,Unsecured Personal Loan,0
100136,30,65800,Employed,5.7,18000,36,9.01,815,34500,0,0,Unsecured Personal Loan,0
100137,35,19700,Employed,4.2,25400,48,9.38,692,8300,0,0,Auto Loan,0
100138,46,49000,Employed,,6500,36,3.78,464,1900,10,0,Unsecured Personal Loan,0
100139,26,51600,Employed,2.4,3300,48,2.99,707,15800,0,0,Auto Loan,0
100140,40,31300,Employed,0.3,22400,60,5.26,652,19700,20,0,Auto Loan,0
100141,51,72200,Employed,0.1,8100,12,5.52,674,3300,0,0,Auto Loan,0
100142,22,33700,Employed,8.8,4000,60,9.76,651,11200,0,0,Auto Loan,0
100143,40,38700,Self-Employed,3.7,14600,48,5.66,745,13600,0,0,Mortgage,0
100144,41,33300,Employed,7.5,21500,48,4.93,770,9400,0,0,Unsecured Personal Loan,0
100145,46,36600,Employed,1.3,12400,24,5.67,703,5700,0,0,Unsecured Personal Loan,0
100146,26,21000,Retired,2.1,10200,48,10.86,653,20200,0,0,Auto Loan,0
100147,25,17700,Employed,0.2,12100,48,7.54,677,7500,10,0,Auto Loan,0
100148,43,80600,Self-Employed,16.3,10700,24,6.96,682,3500,0,0,Unsecured Personal Loan,0
100149,41,23800,Employed,5.5,6000,60,7.17,616,2400,0,0,Unsecured Personal Loan,0
100150,41,22100,Unemployed,13.5,8700,12,11.38,726,23900,0,3,Unsecured Personal Loan,0
100151,41,12400,Unemployed,1.5,18300,12,5.25,717,15200,0,0,Unsecured Personal Loan,0
100152,31,26400,Employed,4.7,16200,36,11.45,803,10500,0,0,Unsecured Personal Loan,0
100153,40,,Retired,5.7,14800,36,8.13,780,7300,10,0,Mortgage,0
100154,41,82500,Employed,1.9,7400,36,7.02,625,6800,20,1,Auto Loan,0
100155,31,60200,Employed,9.4,12000,12,15,746,4700,0,0,Unsecured Personal Loan,0
100156,57,25700,Unemployed,14.7,3600,60,4.33,604,7300,90,0,Auto Loan,1
100157,43,112000,Contract,10.8,14900,12,6.44,736,2200,0,0,Mortgage,0
100158,26,59300,Employed,6.7,31500,12,3.8,639,5900,60,0,Unsecured Personal Loan,0
100159,45,30900,Employed,1.6,5500,12,10.36,598,8000,10,0,Unsecured Personal Loan,0
100160,28,10400,Employed,1.7,9400,36,12.57,702,15200,10,0,Auto Loan,0
100161,46,114200,Employed,16.5,16300,60,12.51,466,9600,0,1,Auto Loan,0
100162,50,18100,Unemployed,0.1,28300,36,11.17,540,17300,0,1,Unsecured Personal Loan,0
100163,30,16000,Employed,6.3,10200,48,6.91,666,25400,0,0,Mortgage,0
100164,48,60600,Employed,6.1,8800,12,6.4,687,20800,10,0,Unsecured Personal Loan,0
100165,42,123000,Employed,4.9,4100,36,2.49,,13800,0,0,Unsecured Personal Loan,0
100166,46,72600,Employed,23.1,14200,36,13.61,554,10000,20,1,Unsecured Personal Loan,0
100167,57,48100,Employed,1.9,45500,36,8.91,615,5000,0,0,Unsecured Personal Loan,0
100168,36,48900,Self-Employed,2.1,15800,12,6.02,711,16600,20,3,Auto Loan,0
100169,30,55600,Retired,0.4,13200,36,11.48,727,32100,0,0,Mortgage,0
100170,29,53100,Contract,2.9,16200,36,4.58,679,12600,0,0,Unsecured Personal Loan,0
100171,30,41800,Employed,1.5,13300,48,8.72,773,37900,0,1,Mortgage,0
100172,37,38300,Contract,2.1,8200,36,6.98,712,3400,0,0,Mortgage,0
100173,41,35200,Unemployed,9,21900,12,9.42,620,4400,0,0,Unsecured Personal Loan,0
100174,41,24900,Unemployed,13.7,15300,36,7.31,658,18000,20,0,Auto Loan,0
100175,46,31600,Employed,1,13500,24,3.15,568,11900,0,0,Unsecured Personal Loan,0
100176,38,15600,Employed,,7400,48,7.73,671,24800,0,0,Auto Loan,0
100177,53,34600,Employed,,29200,36,10.65,769,9800,30,0,Unsecured Personal Loan,0
100178,35,,Employed,0.3,19900,24,7.41,735,5400,0,0,Auto Loan,1
100179,65,20900,Employed,0.5,9600,60,9.83,792,8500,60,3,Unsecured Personal Loan,0
100180,44,39700,Employed,0.9,24400,36,4.36,656,3400,120,3,Mortgage,1
100181,29,72800,Employed,4.5,9900,12,7.42,788,4500,0,0,Mortgage,0
100182,27,57500,Unemployed,0.8,8400,36,5.63,665,19500,0,0,Unsecured Personal Loan,0
100183,43,16600,Employed,17.2,8500,24,9.74,798,18200,0,0,Unsecured Personal Loan,0
100184,36,22100,Employed,3,4600,48,7.59,678,12800,20,0,Unsecured Personal Loan,0
100185,45,58100,Retired,3.5,17700,48,9.57,737,3000,0,0,Auto Loan,0
100186,43,22200,Contract,1.4,4500,60,10.76,798,7700,0,2,Unsecured Personal Loan,0
100187,37,32500,Unemployed,3.2,6400,36,9.57,665,4200,20,2,Auto Loan,0
100188,30,47800,Retired,5.4,3800,36,8.32,,22600,0,0,Unsecured Personal Loan,0
100189,23,22400,Employed,7,12700,48,4.51,783,6600,30,0,Unsecured Personal Loan,0
100190,34,38300,Retired,7,12200,12,7.49,669,4600,10,0,Unsecured Personal Loan,0
100191,47,18600,Employed,,11000,36,5.9,574,10100,0,0,Unsecured Personal Loan,0
100192,40,26900,Employed,11.7,7100,36,6.47,851,6300,30,0,Auto Loan,0
100193,26,42600,Employed,8.5,6600,12,6.38,642,28000,10,0,Mortgage,0
100194,40,16400,Employed,7.1,17700,36,4.56,693,5900,0,1,Unsecured Personal Loan,0
100195,42,45300,Employed,0.3,9600,48,1.63,772,3700,0,0,Auto Loan,0
100196,29,36000,Self-Employed,0,16200,48,5.5,,2200,0,2,Unsecured Personal Loan,0
100197,40,47900,Unemployed,1.2,7900,12,8.08,599,9700,0,0,Auto Loan,0
100198,39,40600,Self-Employed,5.4,14900,12,3.46,700,6700,90,0,Unsecured Personal Loan,1
100199,27,71800,Employed,2.6,29200,24,7.55,537,3600,0,1,Auto Loan,0
100200,42,38700,Contract,2.6,19000,48,13.2,657,22800,10,1,Mortgage,0
100201,44,29300,Self-Employed,10.8,10400,12,10.57,700,15800,0,0,Unsecured Personal Loan,0
100202,49,38600,Employed,11.3,15600,48,12.43,658,9700,0,0,Auto Loan,0
100203,49,47700,Self-Employed,12,11600,12,8.67,557,25700,60,2,Unsecured Personal Loan,0
100204,24,37200,Employed,1.9,13400,36,11,808,15700,30,0,Unsecured Personal Loan,0
100205,29,37100,Employed,5.9,11000,24,5.33,688,5600,0,0,Unsecured Personal Loan,0
100206,43,25600,Contract,1.6,12100,48,5.57,794,4800,0,0,Unsecured Personal Loan,0
100207,43,26100,Employed,1.1,15200,24,-0.72,659,17500,0,1,Unsecured Personal Loan,0
100208,43,18000,Employed,1,7400,36,11.06,610,13100,0,1,Unsecured Personal Loan,0
100209,75,87100,Contract,2.1,7300,24,12.12,702,11100,0,2,Unsecured Personal Loan,1
100210,44,19500,Unemployed,2.8,23200,48,5.84,663,5500,0,0,Unsecured Personal Loan,0
100211,49,25700,Employed,8.9,5100,48,6.74,586,15100,90,0,Auto Loan,0
100212,48,25400,Employed,0.6,6400,12,5.24,798,5800,0,0,Mortgage,0
100213,45,56800,Employed,6.6,14700,48,8.65,630,9200,30,1,Unsecured Personal Loan,0
100214,35,31300,Self-Employed,3.8,7800,36,10.87,533,27300,10,0,Unsecured Personal Loan,0
100215,46,67800,Employed,1.7,18200,12,2.27,786,6200,0,0,Unsecured Personal Loan,0
100216,30,25900,Employed,3.4,13600,36,8.73,640,3300,30,0,Mortgage,0
100217,36,41800,Retired,1.8,4100,24,6.67,631,4700,0,0,Auto Loan,0
100218,33,23900,Employed,4.5,19800,48,7.84,539,19900,30,1,Unsecured Personal Loan,0
100219,39,106100,Employed,2.8,21700,48,8.88,819,11800,0,0,Unsecured Personal Loan,0
100220,61,20100,Employed,0.9,7400,12,6.94,577,9000,0,3,Unsecured Personal Loan,0
100221,19,42400,Self-Employed,0.6,17200,36,7.19,685,6900,30,0,Unsecured Personal Loan,0
100222,45,49900,Employed,4,8000,48,6.86,753,13900,0,2,Mortgage,0
100223,22,44700,Employed,,14200,60,10.41,714,5500,30,1,Mortgage,0
100224,33,33100,Contract,2.1,6300,36,8.76,675,12300,60,0,Unsecured Personal Loan,0
100225,49,34000,Employed,6.6,4600,60,8.16,544,5900,0,3,Auto Loan,0
100226,39,37100,Employed,5.4,10600,36,3.69,615,5300,0,0,Unsecured Personal Loan,0
100227,27,33700,Employed,13.4,12400,24,6.36,695,6300,0,1,Unsecured Personal Loan,0
100228,31,58800,Employed,,10500,48,10.2,617,7600,0,1,Mortgage,1
100229,45,109700,Employed,4.2,6600,36,7.61,696,9600,20,1,Auto Loan,0
100230,31,27500,Employed,5.4,10500,36,9.48,735,11700,0,0,Unsecured Personal Loan,0
100231,40,,Employed,11.4,15700,36,12.8,757,700,0,0,Unsecured Personal Loan,0
100232,38,34700,Employed,2.6,13000,48,10.62,582,5600,10,0,Mortgage,0
100233,31,131900,Contract,2,14900,48,7.78,856,7500,0,0,Auto Loan,0
100234,59,24300,Retired,0.1,8900,36,5.97,741,28400,20,1,Unsecured Personal Loan,0
100235,44,82400,Unemployed,8.8,27000,24,-0.16,680,4600,0,1,Unsecured Personal Loan,0
100236,18,84000,Contract,8.1,6600,36,6.99,767,11100,60,2,Unsecured Personal Loan,0
100237,40,27500,Employed,0.6,17900,36,6.52,869,28200,0,0,Mortgage,0
100238,31,48300,Retired,4.3,108800,24,8.67,565,3900,0,1,Auto Loan,0
100239,47,82000,Employed,3.1,17800,48,7.04,662,13000,0,2,Unsecured Personal Loan,0
100240,30,30000,Retired,0.6,11800,36,6.54,,5600,0,1,Auto Loan,0
100241,37,32800,Retired,19.7,9700,24,2.16,,7000,90,0,Auto Loan,0
100242,43,27200,Unemployed,,24900,12,4.68,709,5600,0,0,Unsecured Personal Loan,0
100243,47,21900,Retired,0.3,5700,24,8.93,677,5900,20,0,Unsecured Personal Loan,0
100244,26,26200,Self-Employed,,7500,60,12.65,628,66500,0,0,Auto Loan,0
100245,35,19700,Employed,6.7,10500,24,7.21,516,17900,0,0,Auto Loan,0
100246,33,36900,Employed,0.2,28100,24,8.48,710,21400,0,3,Auto Loan,0
100247,31,24700,Self-Employed,5.4,16800,36,10.36,796,14000,0,0,Mortgage,0
100248,56,204000,Employed,3.8,7500,24,5.07,633,3200,0,0,Unsecured Personal Loan,0
100249,42,16700,Self-Employed,0.5,11100,12,8.6,715,13000,0,0,Unsecured Personal Loan,0
100250,25,42800,Retired,0.9,9200,24,5.28,555,21000,60,1,Mortgage,0
100251,47,55100,Employed,4.2,8700,36,10.09,717,5400,0,2,Unsecured Personal Loan,0
100252,59,,Unemployed,1.8,24000,36,7.95,649,19500,0,1,Auto Loan,0
100253,48,43800,Contract,13.9,5900,24,8.4,619,16200,0,0,Auto Loan,0
100254,23,67100,Contract,8.5,35100,36,5.15,619,36200,0,0,Auto Loan,0
100255,33,19800,Retired,20.5,22000,60,9.62,649,7400,60,1,Unsecured Personal Loan,1
100256,51,83800,Employed,1.5,25700,24,13.75,711,4600,0,0,Auto Loan,0
100257,31,44800,Retired,17.5,10100,24,4.48,,7700,0,0,Mortgage,0
100258,42,25500,Unemployed,2.8,12200,24,6.48,648,27000,0,0,Auto Loan,0
100259,46,,Employed,,5700,36,8.19,,2800,0,0,Unsecured Personal Loan,0
100260,29,48000,Employed,0.3,9800,48,9.86,592,2300,0,0,Unsecured Personal Loan,0
100261,37,37700,Unemployed,0.3,18000,24,5.82,824,10500,10,0,Unsecured Personal Loan,0
100262,18,47500,Employed,5.9,29100,48,-1,612,7300,0,0,Unsecured Personal Loan,0
100263,28,22900,Self-Employed,3.1,6900,12,11.58,626,10000,0,0,Unsecured Personal Loan,0
100264,35,39500,Self-Employed,1.3,10700,36,9.78,602,19200,20,0,Mortgage,0
100265,26,17900,Employed,4.8,12200,48,2.27,824,6700,0,0,Auto Loan,0
100266,54,34400,Self-Employed,1.5,5800,24,5.68,724,2700,30,0,Auto Loan,0
100267,24,23100,Unemployed,4.3,19000,36,12.2,605,41400,0,0,Auto Loan,0
100268,34,25100,Employed,2.2,8700,24,11.84,768,4900,30,0,Unsecured Personal Loan,0
100269,39,67400,Employed,8.7,11900,48,10.32,696,4700,0,0,Mortgage,0
100270,52,62700,Employed,8.6,10200,12,6.97,701,21400,0,0,Unsecured Personal Loan,0
100271,24,49200,Employed,3.2,8300,48,7.75,652,7600,0,0,Unsecured Personal Loan,0
100272,50,21000,Contract,2.2,13300,24,7.11,620,9500,0,0,Unsecured Personal Loan,0
100273,38,31000,Employed,2.3,11700,48,10.88,707,13900,0,1,Mortgage,0
100274,28,66600,Self-Employed,8.2,10700,24,4.87,636,21100,0,0,Mortgage,0
100275,43,,Employed,2,8600,48,5.08,825,7800,0,0,Unsecured Personal Loan,0
100276,40,115800,Employed,1.2,16200,24,10.53,578,28700,0,0,Mortgage,0
100277,32,44200,Contract,0.4,36000,60,7.37,803,2200,0,3,Unsecured Personal Loan,0
100278,39,40000,Unemployed,3.1,14500,12,11.64,671,16800,20,0,Unsecured Personal Loan,0
100279,34,31100,Employed,3.3,24300,24,5.49,704,5500,10,0,Mortgage,0
100280,39,38800,Employed,9.2,5800,36,7.34,747,25900,0,0,Mortgage,0
100281,45,33600,Employed,1.3,14700,12,4.73,,10900,0,1,Auto Loan,0
100282,54,51700,Employed,2.4,6900,24,7.52,749,6200,0,1,Auto Loan,1
100283,26,58600,Self-Employed,8.3,5500,60,3.06,,15700,0,0,Mortgage,0
100284,59,24500,Employed,8.7,8600,60,6.04,622,18500,30,0,Auto Loan,0
100285,18,18700,Employed,2.4,27300,24,3.19,606,15500,0,0,Mortgage,0
100286,36,14500,Employed,3.1,23600,60,9.58,580,4800,0,2,Auto Loan,1
100287,44,46800,Contract,1.8,15500,36,9.65,663,7100,10,0,Mortgage,0
100288,41,20900,Retired,13.5,5300,24,2.31,711,9900,0,0,Mortgage,0
100289,32,12400,Employed,0.6,11900,48,11.5,736,9600,30,2,Unsecured Personal Loan,1
100290,36,44100,Unemployed,,16000,36,14.99,699,16700,30,2,Mortgage,0
100291,33,,Employed,5.8,14800,60,7.64,627,2400,0,3,Unsecured Personal Loan,0
100292,32,36200,Employed,3.8,4400,24,5.58,710,12500,0,1,Unsecured Personal Loan,0
100293,46,55200,Unemployed,0.2,7800,36,15.97,690,8100,0,3,Auto Loan,0
100294,42,37800,Contract,3.2,12900,12,3.54,755,5500,0,0,Unsecured Personal Loan,0
100295,31,34600,Retired,2.6,18400,12,7.56,742,5900,0,1,Auto Loan,0
100296,47,57500,Self-Employed,0.9,3600,12,8.04,,8500,10,1,Mortgage,0
100297,41,,Employed,5.3,12100,60,11.54,608,800,0,0,Unsecured Personal Loan,0
100298,46,41500,Unemployed,17.7,14600,48,8.58,628,6100,0,0,Unsecured Personal Loan,0
100299,44,42700,Employed,4.1,22200,48,6,636,5400,0,3,Mortgage,0
100300,30,26000,Self-Employed,6.3,20200,36,4.65,655,14400,20,0,Unsecured Personal Loan,0
100301,32,59600,Employed,0.4,18900,24,6.47,701,5600,0,1,Unsecured Personal Loan,0
100302,45,33300,Self-Employed,2.7,8300,24,4.48,737,8500,30,0,Unsecured Personal Loan,0
